GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JBehave Groovy,org.jbehave.core.steps.groovy,GroovyStepsFactory,0,40,1,3,0,9,1,4,0,3
JBehave Groovy,org.jbehave.core.junit.groovy,GroovyAnnotatedEmbedderRunner,14,0,0,0,4,0,2,0,2,0
JBehave Groovy,org.jbehave.core.configuration.groovy,BytecodeGroovyClassLoader,18,24,2,0,3,4,2,2,1,2
JBehave Groovy,org.jbehave.core.configuration.groovy,GroovyContext.GroovyClassInstantiationFailed,16,0,0,0,3,0,1,0,1,0
JBehave Groovy,org.jbehave.core.configuration.groovy,GroovyAnnotationBuilder,22,97,3,5,7,21,4,6,1,5
JBehave Groovy,org.jbehave.core.configuration.groovy,GroovyContext.GroovyInstanceNotFound,0,5,0,0,0,2,0,1,0,1
JBehave Groovy,org.jbehave.core.configuration.groovy,BytecodeGroovyClassLoader.BytecodeClassCollector,0,29,0,0,0,5,0,2,0,2
JBehave Groovy,org.jbehave.core.configuration.groovy,BytecodeGroovyClassLoader.new PrivilegedAction() {...},0,12,0,0,0,2,0,2,0,2
JBehave Groovy,org.jbehave.core.configuration.groovy,GroovyResourceFinder,7,23,0,0,2,6,1,2,1,2
JBehave Groovy,org.jbehave.core.configuration.groovy,GroovyContext,29,104,1,7,8,20,4,10,3,7
