GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
com.amazon.ion:ion-java,com.amazon.ion.impl,UnifiedInputBufferX.Chars,48,0,0,0,13,0,6,0,6,0
com.amazon.ion:ion-java,com.amazon.ion.impl,IonReaderTextRawTokensX,4061,0,758,0,1130,0,541,0,112,0
com.amazon.ion:ion-java,com.amazon.ion.impl,IonReaderTextSystemX,1703,0,289,0,418,0,205,0,39,0
com.amazon.ion:ion-java,com.amazon.ion.impl,IonTokenConstsX.CharacterSequence,3,0,0,0,1,0,1,0,1,0
com.amazon.ion:ion-java,com.amazon.ion.impl,_Private_IonTextWriterBuilder.Mutable,5,13,0,0,2,4,1,4,1,4
com.amazon.ion:ion-java,com.amazon.ion.impl,IonTokenReader.LocalReader,72,0,6,0,21,0,8,0,5,0
com.amazon.ion:ion-java,com.amazon.ion.impl,_Private_Utils,1047,36,209,1,259,12,158,3,51,3
com.amazon.ion:ion-java,com.amazon.ion.impl,SimpleByteBuffer.SimpleByteReader,1255,0,214,0,258,0,134,0,23,0
com.amazon.ion:ion-java,com.amazon.ion.impl,IonReaderBinaryUserX.IonReaderBinarySpan,15,0,0,0,6,0,4,0,4,0
com.amazon.ion:ion-java,com.amazon.ion.impl,IonReaderBinaryUserX.ByteTransferReaderFacet,34,0,2,0,7,0,3,0,2,0
com.amazon.ion:ion-java,com.amazon.ion.impl,UnifiedInputBufferX,479,0,69,0,107,0,56,0,21,0
com.amazon.ion:ion-java,com.amazon.ion.impl,IonWriterSystem,749,0,136,0,196,0,105,0,36,0
com.amazon.ion:ion-java,com.amazon.ion.impl,IonReaderTextRawTokensX.CommentStrategy,34,0,0,0,4,0,1,0,1,0
com.amazon.ion:ion-java,com.amazon.ion.impl,UnifiedDataPageX,267,0,23,0,56,0,33,0,21,0
com.amazon.ion:ion-java,com.amazon.ion.impl,_Private_ScalarConversions.CantConvertException,13,0,0,0,6,0,3,0,3,0
com.amazon.ion:ion-java,com.amazon.ion.impl,OutputStreamFastAppendable,493,0,46,0,74,0,35,0,12,0
com.amazon.ion:ion-java,com.amazon.ion.impl,IonTokenReader,2642,0,516,0,636,0,323,0,38,0
