GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Spring Initializr :: Actuator,io.spring.initializr.actuate.info,DependencyRangesInfoContributor,0,184,3,25,0,42,3,19,0,8
Spring Initializr :: Actuator,io.spring.initializr.actuate.info,BomRangesInfoContributor,0,66,1,5,0,16,1,6,0,4
Spring Initializr :: Actuator,io.spring.initializr.actuate.stat,ProjectRequestDocument.ClientInformation,54,36,2,2,2,10,3,5,1,5
Spring Initializr :: Actuator,io.spring.initializr.actuate.stat,ProjectRequestDocument,149,101,1,1,8,41,2,27,1,27
Spring Initializr :: Actuator,io.spring.initializr.actuate.stat,StatsProperties.Elastic,12,60,1,3,6,19,4,12,3,11
Spring Initializr :: Actuator,io.spring.initializr.actuate.stat,ProjectRequestDocument.InvalidDependencyInformation,13,15,0,0,1,6,1,3,1,3
Spring Initializr :: Actuator,io.spring.initializr.actuate.stat,ProjectRequestDocument.ErrorStateInformation,81,46,0,0,8,17,3,12,3,12
Spring Initializr :: Actuator,io.spring.initializr.actuate.stat,StatsProperties,0,11,0,0,0,3,0,2,0,2
Spring Initializr :: Actuator,io.spring.initializr.actuate.stat,ProjectGenerationStatPublisher,45,150,1,5,9,35,2,11,1,9
Spring Initializr :: Actuator,io.spring.initializr.actuate.stat,ProjectRequestDocumentFactory,21,289,14,34,6,59,13,21,0,10
Spring Initializr :: Actuator,io.spring.initializr.actuate.stat,ProjectRequestDocument.VersionInformation,42,47,1,1,3,8,2,4,1,4
Spring Initializr :: Actuator,io.spring.initializr.actuate.stat,ProjectRequestDocument.DependencyInformation,37,37,0,2,2,12,1,6,1,5
Spring Initializr :: Actuator,io.spring.initializr.actuate.autoconfigure,InitializrActuatorEndpointsAutoConfiguration,0,13,0,0,0,3,0,3,0,3
Spring Initializr :: Actuator,io.spring.initializr.actuate.autoconfigure,InitializrStatsAutoConfiguration,0,52,0,0,0,14,0,3,0,3
