GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Hosebird Client Core,com.twitter.hbc.core.endpoint,EnterpriseStreamingEndpoint,130,0,4,0,31,0,16,0,14,0
Hosebird Client Core,com.twitter.hbc.core.endpoint,StatusesFilterEndpoint,37,0,0,0,10,0,5,0,5,0
Hosebird Client Core,com.twitter.hbc.core.endpoint,StatusesFirehoseEndpoint,14,0,0,0,4,0,2,0,2,0
Hosebird Client Core,com.twitter.hbc.core.endpoint,StatusesSampleEndpoint,6,0,0,0,2,0,1,0,1,0
Hosebird Client Core,com.twitter.hbc.core.endpoint,ReplayEnterpriseStreamingEndpoint,82,0,0,0,12,0,5,0,5,0
Hosebird Client Core,com.twitter.hbc.core.endpoint,UserstreamEndpoint,43,0,6,0,19,0,8,0,5,0
Hosebird Client Core,com.twitter.hbc.core.endpoint,RealTimeEnterpriseStreamingEndpoint,13,0,0,0,4,0,2,0,2,0
Hosebird Client Core,com.twitter.hbc.core.endpoint,Location.Coordinate,28,0,0,0,7,0,4,0,4,0
Hosebird Client Core,com.twitter.hbc.core.endpoint,RawEndpoint,110,0,2,0,32,0,14,0,13,0
Hosebird Client Core,com.twitter.hbc.core.endpoint,SitestreamEndpoint,88,0,4,0,10,0,7,0,5,0
Hosebird Client Core,com.twitter.hbc.core.endpoint,DefaultStreamingEndpoint,79,0,8,0,29,0,12,0,8,0
Hosebird Client Core,com.twitter.hbc.core.endpoint,Location,32,0,0,0,7,0,4,0,4,0
Hosebird Client Core,com.twitter.hbc.core.endpoint,BaseEndpoint,128,0,2,0,31,0,15,0,14,0
Hosebird Client Core,com.twitter.hbc.httpclient,ControlStreamException,29,0,0,0,7,0,3,0,3,0
Hosebird Client Core,com.twitter.hbc.httpclient,RestartableHttpClient,150,0,4,0,29,0,15,0,13,0
Hosebird Client Core,com.twitter.hbc.httpclient,Connection,71,0,6,0,18,0,7,0,4,0
Hosebird Client Core,com.twitter.hbc.httpclient,BasicClient,169,0,6,0,40,0,16,0,13,0
Hosebird Client Core,com.twitter.hbc.httpclient,ClientBase,816,0,50,0,166,0,45,0,20,0
Hosebird Client Core,com.twitter.hbc.core.processor,StringDelimitedProcessor,85,0,12,0,25,0,11,0,5,0
Hosebird Client Core,com.twitter.hbc.core.processor,LineStringProcessor,36,0,4,0,12,0,6,0,4,0
Hosebird Client Core,com.twitter.hbc.core.processor,AbstractProcessor,31,0,2,0,10,0,4,0,3,0
Hosebird Client Core,com.twitter.hbc.core.event,Event,48,0,0,0,15,0,6,0,6,0
Hosebird Client Core,com.twitter.hbc.core.event,HttpResponseEvent,14,0,0,0,4,0,2,0,2,0
Hosebird Client Core,com.twitter.hbc.core.event,ConnectionEvent,12,0,0,0,4,0,2,0,2,0
Hosebird Client Core,com.twitter.hbc.core.event,EventType,110,0,0,0,18,0,4,0,4,0
Hosebird Client Core,com.twitter.hbc,ClientBuilder,288,0,2,0,76,0,21,0,20,0
Hosebird Client Core,com.twitter.hbc,BasicRateTracker.RateUpdater,20,159,0,8,2,37,1,10,1,6
Hosebird Client Core,com.twitter.hbc,BasicRateTracker,39,58,5,3,8,18,7,6,3,6
Hosebird Client Core,com.twitter.hbc,BasicReconnectionManager,81,47,7,1,17,15,11,5,7,5
Hosebird Client Core,com.twitter.hbc,SitestreamController,332,0,14,0,70,0,22,0,15,0
Hosebird Client Core,com.twitter.hbc.httpclient.auth,BasicAuth,26,0,0,0,9,0,3,0,3,0
Hosebird Client Core,com.twitter.hbc.httpclient.auth,OAuth1,306,0,12,0,56,0,12,0,6,0
Hosebird Client Core,com.twitter.hbc.core,StatsReporter,98,0,0,0,21,0,11,0,11,0
Hosebird Client Core,com.twitter.hbc.core,Constants,6,0,0,0,2,0,2,0,2,0
Hosebird Client Core,com.twitter.hbc.core,Constants.FilterLevel,69,0,0,0,11,0,5,0,5,0
Hosebird Client Core,com.twitter.hbc.core,HttpHosts,2,78,1,7,0,17,1,7,0,4
Hosebird Client Core,com.twitter.hbc.core,HttpConstants,113,0,16,0,28,0,13,0,5,0
Hosebird Client Core,com.twitter.hbc.core,HttpConstants.Codes,6,0,0,0,1,0,1,0,1,0
Hosebird Client Core,com.twitter.hbc.core,Constants.DisconnectCode,6,0,0,0,1,0,1,0,1,0
Hosebird Client Core,com.twitter.hbc.core,StatsReporter.StatsTracker,51,0,0,0,10,0,10,0,10,0
Hosebird Client Core,com.twitter.hbc.common,DelimitedStreamReader,412,0,54,0,88,0,36,0,9,0
Hosebird Client Core,com.twitter.hbc.common,IOUtils,51,0,4,0,11,0,4,0,2,0
